Class_ID,TP,FP,FN,Precision,Recall,IoU,F1
1,206918,0,0,1.0000,1.0000,1.0000,1.0000
2,36741,0,0,1.0000,1.0000,1.0000,1.0000
3,7342,0,0,1.0000,1.0000,1.0000,1.0000

Overall Metrics
OverallAccuracy,MeanIoU,MeanF1
1.0000,1.0000,1.0000
